Date,Solar Noon,,Sunrise,,Sunset,,Day Length,,Civil Twilight,,Nautical Twilight,,Astron. Twilight,
30 Jun,11:47,51.99°,06:10,66.21°,17:25,-66.21°,11:15:25,00:00:08,05:46,17:48,05:20,18:15,04:53,18:41
01 Jul,11:47,52.05°,06:10,66.27°,17:25,-66.27°,11:15:34,00:00:09,05:46,17:49,05:20,18:15,04:53,18:42
02 Jul,11:48,52.12°,06:10,66.34°,17:26,-66.34°,11:15:45,00:00:10,05:47,17:49,05:20,18:15,04:53,18:42
03 Jul,11:48,52.20°,06:10,66.42°,17:26,-66.42°,11:15:56,00:00:11,05:47,17:49,05:20,18:16,04:54,18:42
04 Jul,11:48,52.28°,06:10,66.51°,17:26,-66.51°,11:16:08,00:00:12,05:47,17:49,05:20,18:16,04:54,18:42
05 Jul,11:48,52.37°,06:10,66.60°,17:26,-66.60°,11:16:21,00:00:13,05:47,17:50,05:20,18:16,04:54,18:43
06 Jul,11:48,52.46°,06:10,66.70°,17:27,-66.70°,11:16:35,00:00:14,05:47,17:50,05:20,18:17,04:54,18:43
07 Jul,11:49,52.57°,06:10,66.81°,17:27,-66.81°,11:16:50,00:00:15,05:47,17:50,05:20,18:17,04:54,18:43
08 Jul,11:49,52.67°,06:10,66.92°,17:27,-66.92°,11:17:06,00:00:16,05:47,17:50,05:21,18:17,04:54,18:43
09 Jul,11:49,52.79°,06:10,67.04°,17:28,-67.04°,11:17:23,00:00:17,05:47,17:51,05:21,18:17,04:54,18:44
10 Jul,11:49,52.91°,06:10,67.16°,17:28,-67.16°,11:17:41,00:00:18,05:47,17:51,05:21,18:18,04:54,18:44
11 Jul,11:49,53.04°,06:10,67.30°,17:28,-67.30°,11:17:59,00:00:19,05:47,17:51,05:21,18:18,04:54,18:44
12 Jul,11:49,53.17°,06:10,67.44°,17:29,-67.44°,11:18:19,00:00:20,05:47,17:52,05:21,18:18,04:54,18:44
13 Jul,11:50,53.31°,06:10,67.58°,17:29,-67.58°,11:18:39,00:00:20,05:47,17:52,05:21,18:18,04:54,18:45
14 Jul,11:50,53.46°,06:10,67.74°,17:29,-67.74°,11:19:01,00:00:21,05:47,17:52,05:21,18:19,04:54,18:45
15 Jul,11:50,53.61°,06:10,67.90°,17:29,-67.90°,11:19:23,00:00:22,05:47,17:52,05:21,18:19,04:54,18:45
16 Jul,11:50,53.77°,06:10,68.06°,17:30,-68.06°,11:19:46,00:00:23,05:47,17:53,05:21,18:19,04:54,18:45
17 Jul,11:50,53.94°,06:10,68.23°,17:30,-68.23°,11:20:10,00:00:24,05:47,17:53,05:21,18:19,04:54,18:45
18 Jul,11:50,54.11°,06:10,68.41°,17:30,-68.41°,11:20:34,00:00:25,05:47,17:53,05:21,18:20,04:54,18:46
19 Jul,11:50,54.29°,06:10,68.59°,17:31,-68.59°,11:21:00,00:00:25,05:47,17:53,05:20,18:20,04:54,18:46
20 Jul,11:50,54.47°,06:09,68.78°,17:31,-68.78°,11:21:26,00:00:26,05:47,17:54,05:20,18:20,04:54,18:46
21 Jul,11:50,54.66°,06:09,68.98°,17:31,-68.98°,11:21:53,00:00:27,05:46,17:54,05:20,18:20,04:54,18:46
22 Jul,11:50,54.85°,06:09,69.18°,17:31,-69.18°,11:22:21,00:00:28,05:46,17:54,05:20,18:20,04:54,18:46
23 Jul,11:50,55.05°,06:09,69.39°,17:32,-69.39°,11:22:49,00:00:28,05:46,17:54,05:20,18:21,04:54,18:47
24 Jul,11:50,55.26°,06:09,69.60°,17:32,-69.60°,11:23:18,00:00:29,05:46,17:55,05:20,18:21,04:54,18:47
25 Jul,11:50,55.47°,06:08,69.82°,17:32,-69.82°,11:23:48,00:00:30,05:46,17:55,05:20,18:21,04:54,18:47
26 Jul,11:50,55.69°,06:08,70.05°,17:33,-70.05°,11:24:19,00:00:31,05:46,17:55,05:19,18:21,04:54,18:47
27 Jul,11:50,55.91°,06:08,70.28°,17:33,-70.28°,11:24:50,00:00:31,05:45,17:55,05:19,18:21,04:53,18:47
28 Jul,11:50,56.14°,06:08,70.52°,17:33,-70.52°,11:25:22,00:00:32,05:45,17:56,05:19,18:22,04:53,18:48
29 Jul,11:50,56.37°,06:07,70.76°,17:33,-70.76°,11:25:54,00:00:33,05:45,17:56,05:19,18:22,04:53,18:48
30 Jul,11:50,56.61°,06:07,71.00°,17:34,-71.00°,11:26:28,00:00:33,05:45,17:56,05:19,18:22,04:53,18:48
31 Jul,11:50,56.85°,06:07,71.26°,17:34,-71.26°,11:27:01,00:00:34,05:44,17:56,05:18,18:22,04:53,18:48
01 Aug,11:50,57.10°,06:06,71.51°,17:34,-71.51°,11:27:36,00:00:34,05:44,17:56,05:18,18:22,04:52,18:48
02 Aug,11:50,57.35°,06:06,71.78°,17:34,-71.78°,11:28:11,00:00:35,05:44,17:57,05:18,18:22,04:52,18:48
03 Aug,11:50,57.61°,06:06,72.04°,17:34,-72.04°,11:28:47,00:00:36,05:43,17:57,05:17,18:23,04:52,18:48
04 Aug,11:50,57.87°,06:05,72.32°,17:35,-72.32°,11:29:23,00:00:36,05:43,17:57,05:17,18:23,04:52,18:48
05 Aug,11:50,58.14°,06:05,72.59°,17:35,-72.59°,11:29:59,00:00:37,05:43,17:57,05:17,18:23,04:51,18:49
06 Aug,11:50,58.41°,06:04,72.87°,17:35,-72.87°,11:30:37,00:00:37,05:42,17:57,05:16,18:23,04:51,18:49
07 Aug,11:50,58.69°,06:04,73.16°,17:35,-73.16°,11:31:14,00:00:38,05:42,17:58,05:16,18:23,04:51,18:49
08 Aug,11:50,58.97°,06:04,73.45°,17:35,-73.45°,11:31:53,00:00:38,05:41,17:58,05:16,18:23,04:50,18:49
09 Aug,11:49,59.25°,06:03,73.75°,17:36,-73.75°,11:32:31,00:00:39,05:41,17:58,05:15,18:23,04:50,18:49
10 Aug,11:49,59.54°,06:03,74.05°,17:36,-74.05°,11:33:10,00:00:39,05:40,17:58,05:15,18:24,04:49,18:49
11 Aug,11:49,59.84°,06:02,74.35°,17:36,-74.35°,11:33:50,00:00:40,05:40,17:58,05:14,18:24,04:49,18:49
12 Aug,11:49,60.13°,06:02,74.66°,17:36,-74.66°,11:34:30,00:00:40,05:40,17:58,05:14,18:24,04:49,18:49
13 Aug,11:49,60.43°,06:01,74.97°,17:36,-74.97°,11:35:11,00:00:41,05:39,17:58,05:14,18:24,04:48,18:49
14 Aug,11:49,60.74°,06:01,75.29°,17:36,-75.29°,11:35:52,00:00:41,05:39,17:58,05:13,18:24,04:48,18:49
15 Aug,11:48,61.05°,06:00,75.61°,17:37,-75.61°,11:36:33,00:00:41,05:38,17:59,05:13,18:24,04:47,18:49
16 Aug,11:48,61.36°,05:59,75.93°,17:37,-75.93°,11:37:15,00:00:42,05:38,17:59,05:12,18:24,04:47,18:49
17 Aug,11:48,61.68°,05:59,76.26°,17:37,-76.26°,11:37:57,00:00:42,05:37,17:59,05:12,18:24,04:46,18:49
18 Aug,11:48,62.00°,05:58,76.59°,17:37,-76.59°,11:38:39,00:00:43,05:36,17:59,05:11,18:24,04:46,18:49
19 Aug,11:47,62.32°,05:58,76.93°,17:37,-76.93°,11:39:22,00:00:43,05:36,17:59,05:11,18:24,04:45,18:49
20 Aug,11:47,62.65°,05:57,77.27°,17:37,-77.27°,11:40:05,00:00:43,05:35,17:59,05:10,18:24,04:45,18:50
21 Aug,11:47,62.98°,05:57,77.61°,17:37,-77.61°,11:40:49,00:00:44,05:35,17:59,05:09,18:24,04:44,18:50
22 Aug,11:47,63.31°,05:56,77.95°,17:37,-77.95°,11:41:33,00:00:44,05:34,17:59,05:09,18:24,04:44,18:50
23 Aug,11:46,63.65°,05:55,78.30°,17:38,-78.30°,11:42:17,00:00:44,05:33,17:59,05:08,18:25,04:43,18:50
24 Aug,11:46,63.99°,05:55,78.65°,17:38,-78.65°,11:43:02,00:00:44,05:33,17:59,05:08,18:25,04:43,18:50
25 Aug,11:46,64.33°,05:54,79.01°,17:38,-79.01°,11:43:46,00:00:45,05:32,17:59,05:07,18:25,04:42,18:50
26 Aug,11:46,64.68°,05:53,79.37°,17:38,-79.37°,11:44:31,00:00:45,05:32,18:00,05:06,18:25,04:41,18:50
27 Aug,11:45,65.03°,05:53,79.73°,17:38,-79.73°,11:45:17,00:00:45,05:31,18:00,05:06,18:25,04:41,18:50
28 Aug,11:45,65.38°,05:52,80.09°,17:38,-80.09°,11:46:02,00:00:46,05:30,18:00,05:05,18:25,04:40,18:50
29 Aug,11:45,65.73°,05:51,80.46°,17:38,-80.46°,11:46:48,00:00:46,05:30,18:00,05:05,18:25,04:40,18:50
30 Aug,11:44,66.09°,05:51,80.83°,17:38,-80.83°,11:47:34,00:00:46,05:29,18:00,05:04,18:25,04:39,18:50
31 Aug,11:44,66.44°,05:50,81.20°,17:38,-81.20°,11:48:21,00:00:46,05:28,18:00,05:03,18:25,04:38,18:50
01 Sep,11:44,66.80°,05:49,81.57°,17:38,-81.57°,11:49:07,00:00:47,05:28,18:00,05:03,18:25,04:38,18:50
02 Sep,11:43,67.17°,05:48,81.95°,17:38,-81.95°,11:49:54,00:00:47,05:27,18:00,05:02,18:25,04:37,18:50
03 Sep,11:43,67.53°,05:48,82.32°,17:38,-82.32°,11:50:41,00:00:47,05:26,18:00,05:01,18:25,04:36,18:50
04 Sep,11:43,67.90°,05:47,82.70°,17:38,-82.70°,11:51:28,00:00:47,05:25,18:00,05:01,18:25,04:36,18:50
05 Sep,11:42,68.27°,05:46,83.09°,17:38,-83.09°,11:52:15,00:00:47,05:25,18:00,05:00,18:25,04:35,18:50
06 Sep,11:42,68.64°,05:45,83.47°,17:39,-83.47°,11:53:03,00:00:48,05:24,18:00,04:59,18:25,04:34,18:50
07 Sep,11:42,69.01°,05:45,83.86°,17:39,-83.86°,11:53:51,00:00:48,05:23,18:00,04:58,18:25,04:33,18:50
08 Sep,11:41,69.39°,05:44,84.24°,17:39,-84.24°,11:54:39,00:00:48,05:22,18:00,04:58,18:25,04:33,18:50
09 Sep,11:41,69.76°,05:43,84.63°,17:39,-84.63°,11:55:27,00:00:48,05:22,18:00,04:57,18:25,04:32,18:50
10 Sep,11:41,70.14°,05:42,85.02°,17:39,-85.02°,11:56:15,00:00:48,05:21,18:00,04:56,18:25,04:31,18:50
11 Sep,11:40,70.52°,05:42,85.42°,17:39,-85.42°,11:57:03,00:00:48,05:20,18:00,04:55,18:25,04:31,18:50
12 Sep,11:40,70.90°,05:41,85.81°,17:39,-85.81°,11:57:52,00:00:48,05:19,18:00,04:55,18:25,04:30,18:50
13 Sep,11:39,71.28°,05:40,86.20°,17:39,-86.20°,11:58:40,00:00:49,05:19,18:00,04:54,18:25,04:29,18:50
14 Sep,11:39,71.66°,05:39,86.60°,17:39,-86.60°,11:59:29,00:00:49,05:18,18:00,04:53,18:25,04:28,18:50
15 Sep,11:39,72.05°,05:39,87.00°,17:39,-87.00°,12:00:18,00:00:49,05:17,18:00,04:52,18:25,04:28,18:50
16 Sep,11:38,72.43°,05:38,87.40°,17:39,-87.40°,12:01:07,00:00:49,05:16,18:00,04:52,18:25,04:27,18:50
17 Sep,11:38,72.82°,05:37,87.79°,17:39,-87.79°,12:01:56,00:00:49,05:16,18:00,04:51,18:25,04:26,18:50
18 Sep,11:38,73.21°,05:36,88.19°,17:39,-88.19°,12:02:45,00:00:49,05:15,18:00,04:50,18:25,04:25,18:50
19 Sep,11:37,73.59°,05:35,88.60°,17:39,-88.60°,12:03:34,00:00:49,05:14,18:00,04:49,18:25,04:24,18:50
20 Sep,11:37,73.98°,05:35,89.00°,17:39,-89.00°,12:04:23,00:00:49,05:13,18:00,04:48,18:25,04:24,18:50
21 Sep,11:36,74.37°,05:34,89.40°,17:39,-89.40°,12:05:13,00:00:49,05:12,18:00,04:48,18:25,04:23,18:50
22 Sep,11:36,74.76°,05:33,89.80°,17:39,-89.80°,12:06:02,00:00:49,05:12,18:00,04:47,18:25,04:22,18:50
23 Sep,11:36,75.15°,05:32,90.20°,17:39,-90.20°,12:06:52,00:00:49,05:11,18:01,04:46,18:25,04:21,18:50
24 Sep,11:35,75.54°,05:32,90.61°,17:39,-90.61°,12:07:41,00:00:50,05:10,18:01,04:45,18:25,04:20,18:50
25 Sep,11:35,75.92°,05:31,91.01°,17:39,-91.01°,12:08:31,00:00:50,05:09,18:01,04:44,18:26,04:20,18:50
26 Sep,11:35,76.31°,05:30,91.41°,17:39,-91.41°,12:09:20,00:00:50,05:09,18:01,04:44,18:26,04:19,18:51
27 Sep,11:34,76.70°,05:29,91.81°,17:39,-91.81°,12:10:10,00:00:50,05:08,18:01,04:43,18:26,04:18,18:51
28 Sep,11:34,77.09°,05:28,92.22°,17:39,-92.22°,12:11:00,00:00:50,05:07,18:01,04:42,18:26,04:17,18:51
29 Sep,11:34,77.48°,05:28,92.62°,17:39,-92.62°,12:11:49,00:00:50,05:06,18:01,04:41,18:26,04:16,18:51
30 Sep,11:33,77.87°,05:27,93.02°,17:40,-93.02°,12:12:39,00:00:50,05:05,18:01,04:41,18:26,04:16,18:51
01 Oct,11:33,78.26°,05:26,93.42°,17:40,-93.42°,12:13:29,00:00:50,05:05,18:01,04:40,18:26,04:15,18:51
02 Oct,11:33,78.65°,05:25,93.82°,17:40,-93.82°,12:14:18,00:00:50,05:04,18:01,04:39,18:26,04:14,18:51
03 Oct,11:32,79.03°,05:25,94.23°,17:40,-94.23°,12:15:08,00:00:50,05:03,18:01,04:38,18:26,04:13,18:51
04 Oct,11:32,79.42°,05:24,94.63°,17:40,-94.63°,12:15:57,00:00:50,05:02,18:01,04:37,18:26,04:12,18:51
05 Oct,11:32,79.80°,05:23,95.02°,17:40,-95.02°,12:16:47,00:00:50,05:02,18:01,04:37,18:26,04:11,18:52
06 Oct,11:31,80.19°,05:22,95.42°,17:40,-95.42°,12:17:36,00:00:50,05:01,18:02,04:36,18:27,04:11,18:52
07 Oct,11:31,80.57°,05:22,95.82°,17:40,-95.82°,12:18:26,00:00:49,05:00,18:02,04:35,18:27,04:10,18:52
08 Oct,11:31,80.95°,05:21,96.21°,17:40,-96.21°,12:19:15,00:00:49,04:59,18:02,04:34,18:27,04:09,18:52
09 Oct,11:30,81.33°,05:20,96.61°,17:40,-96.61°,12:20:05,00:00:49,04:59,18:02,04:34,18:27,04:08,18:52
10 Oct,11:30,81.71°,05:20,97.00°,17:40,-97.00°,12:20:54,00:00:49,04:58,18:02,04:33,18:27,04:08,18:53
11 Oct,11:30,82.09°,05:19,97.39°,17:41,-97.39°,12:21:43,00:00:49,04:57,18:02,04:32,18:27,04:07,18:53
12 Oct,11:29,82.47°,05:18,97.78°,17:41,-97.78°,12:22:32,00:00:49,04:57,18:02,04:31,18:28,04:06,18:53
13 Oct,11:29,82.84°,05:18,98.17°,17:41,-98.17°,12:23:21,00:00:49,04:56,18:03,04:31,18:28,04:05,18:53
14 Oct,11:29,83.22°,05:17,98.56°,17:41,-98.56°,12:24:10,00:00:49,04:55,18:03,04:30,18:28,04:04,18:53
15 Oct,11:29,83.59°,05:16,98.94°,17:41,-98.94°,12:24:59,00:00:49,04:55,18:03,04:29,18:28,04:04,18:54
16 Oct,11:28,83.96°,05:16,99.33°,17:41,-99.33°,12:25:47,00:00:49,04:54,18:03,04:29,18:28,04:03,18:54
17 Oct,11:28,84.32°,05:15,99.71°,17:42,-99.71°,12:26:35,00:00:48,04:53,18:03,04:28,18:29,04:02,18:54
18 Oct,11:28,84.69°,05:14,100.09°,17:42,-100.09°,12:27:24,00:00:48,04:53,18:04,04:27,18:29,04:02,18:55
19 Oct,11:28,85.05°,05:14,100.46°,17:42,-100.46°,12:28:12,00:00:48,04:52,18:04,04:26,18:29,04:01,18:55
20 Oct,11:28,85.41°,05:13,100.84°,17:42,-100.84°,12:29:00,00:00:48,04:51,18:04,04:26,18:29,04:00,18:55
21 Oct,11:27,85.77°,05:13,101.21°,17:42,-101.21°,12:29:47,00:00:48,04:51,18:04,04:25,18:30,03:59,18:56
22 Oct,11:27,86.12°,05:12,101.57°,17:43,-101.57°,12:30:35,00:00:47,04:50,18:04,04:25,18:30,03:59,18:56
23 Oct,11:27,86.48°,05:11,101.94°,17:43,-101.94°,12:31:22,00:00:47,04:50,18:05,04:24,18:30,03:58,18:56
24 Oct,11:27,86.83°,05:11,102.30°,17:43,-102.30°,12:32:09,00:00:47,04:49,18:05,04:23,18:31,03:57,18:57
25 Oct,11:27,87.17°,05:10,102.66°,17:43,-102.66°,12:32:56,00:00:47,04:48,18:05,04:23,18:31,03:57,18:57
26 Oct,11:27,87.52°,05:10,103.02°,17:44,-103.02°,12:33:42,00:00:46,04:48,18:06,04:22,18:31,03:56,18:57
27 Oct,11:27,87.86°,05:09,103.37°,17:44,-103.37°,12:34:28,00:00:46,04:47,18:06,04:22,18:32,03:55,18:58
28 Oct,11:27,88.19°,05:09,103.72°,17:44,-103.72°,12:35:14,00:00:46,04:47,18:06,04:21,18:32,03:55,18:58
29 Oct,11:26,88.53°,05:08,104.07°,17:44,-104.07°,12:35:59,00:00:46,04:46,18:07,04:20,18:32,03:54,18:59
30 Oct,11:26,88.86°,05:08,104.41°,17:45,-104.41°,12:36:45,00:00:45,04:46,18:07,04:20,18:33,03:54,18:59
31 Oct,11:26,89.19°,05:08,104.75°,17:45,-104.75°,12:37:29,00:00:45,04:45,18:07,04:19,18:33,03:53,19:00
01 Nov,11:26,89.51°,05:07,105.09°,17:45,-105.09°,12:38:14,00:00:44,04:45,18:08,04:19,18:34,03:53,19:00
02 Nov,11:26,89.83°,05:07,105.42°,17:46,-105.42°,12:38:58,00:00:44,04:45,18:08,04:18,18:34,03:52,19:01
03 Nov,11:26,89.86°,05:06,105.74°,17:46,-105.74°,12:39:42,00:00:44,04:44,18:08,04:18,18:35,03:51,19:01
04 Nov,11:26,89.55°,05:06,106.07°,17:46,-106.07°,12:40:25,00:00:43,04:44,18:09,04:18,18:35,03:51,19:02
05 Nov,11:26,89.24°,05:06,106.39°,17:47,-106.39°,12:41:08,00:00:43,04:43,18:09,04:17,18:35,03:50,19:02
06 Nov,11:26,88.94°,05:05,106.70°,17:47,-106.70°,12:41:50,00:00:42,04:43,18:10,04:17,18:36,03:50,19:03
07 Nov,11:26,88.64°,05:05,107.01°,17:48,-107.01°,12:42:32,00:00:42,04:43,18:10,04:16,18:36,03:50,19:03
08 Nov,11:26,88.34°,05:05,107.32°,17:48,-107.32°,12:43:14,00:00:41,04:42,18:11,04:16,18:37,03:49,19:04
09 Nov,11:26,88.05°,05:05,107.62°,17:48,-107.62°,12:43:55,00:00:41,04:42,18:11,04:16,18:37,03:49,19:04
10 Nov,11:27,87.77°,05:04,107.91°,17:49,-107.91°,12:44:35,00:00:40,04:42,18:11,04:15,18:38,03:48,19:05
11 Nov,11:27,87.49°,05:04,108.20°,17:49,-108.20°,12:45:15,00:00:40,04:41,18:12,04:15,18:38,03:48,19:05
12 Nov,11:27,87.22°,05:04,108.49°,17:50,-108.49°,12:45:54,00:00:39,04:41,18:12,04:15,18:39,03:48,19:06
13 Nov,11:27,86.95°,05:04,108.77°,17:50,-108.77°,12:46:33,00:00:39,04:41,18:13,04:14,18:40,03:47,19:07
14 Nov,11:27,86.68°,05:03,109.04°,17:51,-109.04°,12:47:11,00:00:38,04:41,18:13,04:14,18:40,03:47,19:07
15 Nov,11:27,86.42°,05:03,109.31°,17:51,-109.31°,12:47:48,00:00:37,04:41,18:14,04:14,18:41,03:47,19:08
16 Nov,11:27,86.17°,05:03,109.58°,17:52,-109.58°,12:48:25,00:00:37,04:40,18:14,04:14,18:41,03:46,19:09
17 Nov,11:28,85.92°,05:03,109.84°,17:52,-109.84°,12:49:01,00:00:36,04:40,18:15,04:13,18:42,03:46,19:09
18 Nov,11:28,85.68°,05:03,110.09°,17:53,-110.09°,12:49:36,00:00:35,04:40,18:16,04:13,18:42,03:46,19:10
19 Nov,11:28,85.44°,05:03,110.34°,17:53,-110.34°,12:50:11,00:00:35,04:40,18:16,04:13,18:43,03:46,19:10
20 Nov,11:28,85.21°,05:03,110.58°,17:54,-110.58°,12:50:45,00:00:34,04:40,18:17,04:13,18:44,03:45,19:11
21 Nov,11:29,84.99°,05:03,110.81°,17:54,-110.81°,12:51:18,00:00:33,04:40,18:17,04:13,18:44,03:45,19:12
22 Nov,11:29,84.77°,05:03,111.04°,17:55,-111.04°,12:51:50,00:00:32,04:40,18:18,04:13,18:45,03:45,19:13
23 Nov,11:29,84.55°,05:03,111.26°,17:55,-111.26°,12:52:22,00:00:32,04:40,18:18,04:13,18:46,03:45,19:13
24 Nov,11:29,84.35°,05:03,111.48°,17:56,-111.48°,12:52:53,00:00:31,04:40,18:19,04:13,18:46,03:45,19:14
25 Nov,11:30,84.15°,05:03,111.68°,17:56,-111.68°,12:53:23,00:00:30,04:40,18:20,04:13,18:47,03:45,19:15
26 Nov,11:30,83.95°,05:03,111.89°,17:57,-111.89°,12:53:52,00:00:29,04:40,18:20,04:13,18:47,03:45,19:15
27 Nov,11:30,83.76°,05:03,112.08°,17:58,-112.08°,12:54:20,00:00:28,04:40,18:21,04:13,18:48,03:45,19:16
28 Nov,11:31,83.58°,05:03,112.27°,17:58,-112.27°,12:54:47,00:00:27,04:40,18:21,04:13,18:49,03:45,19:17
29 Nov,11:31,83.41°,05:03,112.45°,17:59,-112.45°,12:55:13,00:00:26,04:40,18:22,04:13,18:49,03:45,19:17
30 Nov,11:31,83.24°,05:04,112.63°,17:59,-112.63°,12:55:38,00:00:25,04:40,18:23,04:13,18:50,03:45,19:18
01 Dec,11:32,83.08°,05:04,112.79°,18:00,-112.79°,12:56:03,00:00:24,04:40,18:23,04:13,18:51,03:45,19:19
02 Dec,11:32,82.93°,05:04,112.95°,18:00,-112.95°,12:56:26,00:00:23,04:41,18:24,04:13,18:51,03:45,19:19
03 Dec,11:33,82.78°,05:04,113.11°,18:01,-113.11°,12:56:49,00:00:22,04:41,18:24,04:13,18:52,03:45,19:20
04 Dec,11:33,82.64°,05:04,113.25°,18:02,-113.25°,12:57:10,00:00:21,04:41,18:25,04:13,18:53,03:45,19:21
05 Dec,11:33,82.51°,05:05,113.39°,18:02,-113.39°,12:57:30,00:00:20,04:41,18:26,04:14,18:53,03:45,19:22
06 Dec,11:34,82.38°,05:05,113.52°,18:03,-113.52°,12:57:49,00:00:19,04:42,18:26,04:14,18:54,03:46,19:22
07 Dec,11:34,82.27°,05:05,113.65°,18:03,-113.65°,12:58:07,00:00:18,04:42,18:27,04:14,18:55,03:46,19:23
08 Dec,11:35,82.16°,05:06,113.76°,18:04,-113.76°,12:58:24,00:00:17,04:42,18:28,04:14,18:55,03:46,19:24
09 Dec,11:35,82.05°,05:06,113.87°,18:05,-113.87°,12:58:40,00:00:16,04:42,18:28,04:15,18:56,03:46,19:24
10 Dec,11:36,81.96°,05:06,113.97°,18:05,-113.97°,12:58:55,00:00:15,04:43,18:29,04:15,18:57,03:46,19:25
11 Dec,11:36,81.87°,05:07,114.06°,18:06,-114.06°,12:59:09,00:00:14,04:43,18:29,04:15,18:57,03:47,19:26
12 Dec,11:37,81.79°,05:07,114.14°,18:06,-114.14°,12:59:21,00:00:12,04:43,18:30,04:16,18:58,03:47,19:26
13 Dec,11:37,81.71°,05:07,114.22°,18:07,-114.22°,12:59:33,00:00:11,04:44,18:31,04:16,18:58,03:47,19:27
14 Dec,11:38,81.65°,05:08,114.29°,18:08,-114.29°,12:59:43,00:00:10,04:44,18:31,04:16,18:59,03:48,19:28
15 Dec,11:38,81.59°,05:08,114.35°,18:08,-114.35°,12:59:52,00:00:09,04:45,18:32,04:17,19:00,03:48,19:28
16 Dec,11:39,81.54°,05:09,114.40°,18:09,-114.40°,12:59:59,00:00:08,04:45,18:32,04:17,19:00,03:49,19:29
17 Dec,11:39,81.50°,05:09,114.45°,18:09,-114.45°,13:00:06,00:00:07,04:45,18:33,04:18,19:01,03:49,19:29
18 Dec,11:40,81.46°,05:10,114.48°,18:10,-114.48°,13:00:11,00:00:05,04:46,18:33,04:18,19:01,03:49,19:30
19 Dec,11:40,81.44°,05:10,114.51°,18:10,-114.51°,13:00:16,00:00:04,04:46,18:34,04:18,19:02,03:50,19:31
20 Dec,11:41,81.42°,05:11,114.53°,18:11,-114.53°,13:00:18,00:00:03,04:47,18:35,04:19,19:02,03:50,19:31
21 Dec,11:41,81.41°,05:11,114.54°,18:11,-114.54°,13:00:20,00:00:02,04:47,18:35,04:19,19:03,03:51,19:32
22 Dec,11:42,81.40°,05:12,114.54°,18:12,-114.54°,13:00:21,00:00:00,04:48,18:36,04:20,19:04,03:51,19:32
23 Dec,11:42,81.41°,05:12,114.54°,18:12,-114.54°,13:00:20,-00:00:01,04:48,18:36,04:20,19:04,03:52,19:33
24 Dec,11:43,81.42°,05:13,114.53°,18:13,-114.53°,13:00:18,-00:00:02,04:49,18:37,04:21,19:05,03:52,19:33
25 Dec,11:43,81.44°,05:13,114.50°,18:13,-114.50°,13:00:15,-00:00:03,04:50,18:37,04:22,19:05,03:53,19:34
26 Dec,11:44,81.47°,05:14,114.47°,18:14,-114.47°,13:00:10,-00:00:04,04:50,18:38,04:22,19:05,03:54,19:34
27 Dec,11:44,81.51°,05:14,114.44°,18:14,-114.44°,13:00:05,-00:00:06,04:51,18:38,04:23,19:06,03:54,19:35
28 Dec,11:45,81.55°,05:15,114.39°,18:15,-114.39°,12:59:58,-00:00:07,04:51,18:38,04:23,19:06,03:55,19:35
29 Dec,11:45,81.60°,05:15,114.34°,18:15,-114.34°,12:59:50,-00:00:08,04:52,18:39,04:24,19:07,03:55,19:35
30 Dec,11:46,81.66°,05:16,114.28°,18:16,-114.28°,12:59:41,-00:00:09,04:52,18:39,04:25,19:07,03:56,19:36
31 Dec,11:46,81.73°,05:17,114.21°,18:16,-114.21°,12:59:30,-00:00:10,04:53,18:40,04:25,19:08,03:57,19:36
